;tablename;column_name;datatype;nullable;pk;unique
0;Adobe_AdditionalMetadata;id_local;INTEGER;False;True;False
1;Adobe_AdditionalMetadata;id_global;NOT SPECIFIED;True;False;True
2;Adobe_AdditionalMetadata;additionalInfoSet;INTEGER;True;False;False
3;Adobe_AdditionalMetadata;embeddedXmp;INTEGER;True;False;False
4;Adobe_AdditionalMetadata;externalXmpIsDirty;INTEGER;True;False;False
5;Adobe_AdditionalMetadata;image;INTEGER;False;False;False
6;Adobe_AdditionalMetadata;incrementalWhiteBalance;INTEGER;True;False;False
7;Adobe_AdditionalMetadata;internalXmpDigest;NOT SPECIFIED;False;False;False
8;Adobe_AdditionalMetadata;isRawFile;INTEGER;True;False;False
9;Adobe_AdditionalMetadata;lastSynchronizedHash;NOT SPECIFIED;False;False;False
10;Adobe_AdditionalMetadata;lastSynchronizedTimestamp;NOT SPECIFIED;True;False;False
11;Adobe_AdditionalMetadata;metadataPresetID;NOT SPECIFIED;False;False;False
12;Adobe_AdditionalMetadata;metadataVersion;NOT SPECIFIED;False;False;False
13;Adobe_AdditionalMetadata;monochrome;INTEGER;True;False;False
14;Adobe_AdditionalMetadata;xmp;NOT SPECIFIED;True;False;False
15;Adobe_faceProperties;id_local;INTEGER;False;True;False
16;Adobe_faceProperties;face;INTEGER;False;False;False
17;Adobe_faceProperties;propertiesString;NOT SPECIFIED;False;False;False
18;Adobe_imageDevelopBeforeSettings;id_local;INTEGER;False;True;False
19;Adobe_imageDevelopBeforeSettings;beforeDigest;NOT SPECIFIED;False;False;False
20;Adobe_imageDevelopBeforeSettings;beforeHasDevelopAdjustments;NOT SPECIFIED;False;False;False
21;Adobe_imageDevelopBeforeSettings;beforePresetID;NOT SPECIFIED;False;False;False
22;Adobe_imageDevelopBeforeSettings;beforeText;NOT SPECIFIED;False;False;False
23;Adobe_imageDevelopBeforeSettings;developSettings;INTEGER;False;False;False
24;Adobe_imageDevelopBeforeSettings;hasBigData;INTEGER;True;False;False
25;Adobe_imageDevelopSettings;id_local;INTEGER;False;True;False
26;Adobe_imageDevelopSettings;allowFastRender;INTEGER;False;False;False
27;Adobe_imageDevelopSettings;beforeSettingsIDCache;NOT SPECIFIED;False;False;False
28;Adobe_imageDevelopSettings;croppedHeight;NOT SPECIFIED;False;False;False
29;Adobe_imageDevelopSettings;croppedWidth;NOT SPECIFIED;False;False;False
30;Adobe_imageDevelopSettings;digest;NOT SPECIFIED;False;False;False
31;Adobe_imageDevelopSettings;fileHeight;NOT SPECIFIED;False;False;False
32;Adobe_imageDevelopSettings;fileWidth;NOT SPECIFIED;False;False;False
33;Adobe_imageDevelopSettings;grayscale;INTEGER;False;False;False
34;Adobe_imageDevelopSettings;hasAIMasks;INTEGER;True;False;False
35;Adobe_imageDevelopSettings;hasBigData;INTEGER;True;False;False
36;Adobe_imageDevelopSettings;hasDevelopAdjustments;INTEGER;False;False;False
37;Adobe_imageDevelopSettings;hasDevelopAdjustmentsEx;NOT SPECIFIED;False;False;False
38;Adobe_imageDevelopSettings;hasLensBlur;INTEGER;True;False;False
39;Adobe_imageDevelopSettings;hasMasks;INTEGER;True;False;False
40;Adobe_imageDevelopSettings;hasRetouch;NOT SPECIFIED;False;False;False
41;Adobe_imageDevelopSettings;historySettingsID;NOT SPECIFIED;False;False;False
42;Adobe_imageDevelopSettings;image;INTEGER;False;False;False
43;Adobe_imageDevelopSettings;isHdrEditMode;INTEGER;True;False;False
44;Adobe_imageDevelopSettings;processVersion;NOT SPECIFIED;False;False;False
45;Adobe_imageDevelopSettings;profileCorrections;NOT SPECIFIED;False;False;False
46;Adobe_imageDevelopSettings;removeChromaticAberration;NOT SPECIFIED;False;False;False
47;Adobe_imageDevelopSettings;settingsID;NOT SPECIFIED;False;False;False
